ObjectId,DBA_Name,License_Effective_Date,NAICS_Code,NAICS_Description,Exempt,City,State,Zip_Code
48,AARON D INGALLS,4/17/2017,'10-7021,ROOMING & BOARDING PLACES,No,Boulder,CO,80304
49,AARON HENDRIKSON & LAURA MIDSON,5/24/2019,'10-7021,ROOMING & BOARDING PLACES,No,Boulder,CO,
50,AARON PATTILLO & MARGARET BROWN,9/8/2017,'10-7021,ROOMING & BOARDING PLACES,No,Boulder,CO,80304
51, BRIAN LEHMAN,8/29/2019,'10-7021,ROOMING & BOARDING PLACES,No,Boulder,CO,80302
52,"""A"" BETTER FENCE ",2/15/2019,'09-1796,INSTALLATION BUILDING EQUIPMENT,No,Longmont,CO,80504
53,"#1 A LIFE SAFER OF COLORADO, INC",2/14/2010,'10-7539,GENERAL AUTO REPAIR SHOPS,No,AURORA,CO,80011
54,1 SHOT GEAR,1/2/2019,'05-5941,SPORTING GOODS & BIKE SHOPS,No,Englewood,CO,80110
55,"1 SOURCE PROPERTY SERVICES, INC",8/1/2003,'10-7389,BUSINESS SERVICES ALL OTHER,No,LAKEWOOD,CO,80226
56,1-800 RADIATOR,1/16/2018,'07-5531,AUTO & HOME SUPPLY STORES,No,Denver,CO,80216
57,"1-800-CONTACTS, INC",4/1/2008,'05-5995,OPTICAL GOODS,No,Draper,UT,84020-2135
58,10 BELOW DOUGH ,9/11/2019,'10-3999,MANUFACTURING ALL OTHER,No,Longmont,CO,80503
59,10 DIGIT PRESS,12/9/2017,'05-5900,MISC RETAIL,No,Longmont,CO,80503
60,10 STRAWBERRY STREET,12/1/2018,'10-5000,WHOLESALE TRADE - DURABLE GOOD,No,Denver,CO,80207
61,1000 DEGREES PIZZERIA,1/1/2017,'02-5812,EATING PLACES,No,Boulder,CO,80302
62,100TH MONKEY MUSHROOM FARM LLC,12/1/2013,'05-5900,MISC RETAIL,No,Boulder,CO,80305
63,101 MOBILITY ,8/12/2019,'09-1796,INSTALLATION BUILDING EQUIPMENT,No,Denver,CO,80237
64,"10DOGSLATER, LLC",9/2/2016,'05-5999,MISC RETAIL STORES,No,Boulder,CO,80301
65,"11 DOLLAR BILL BOULDER, LLC",9/1/2016,'10-9411,ADMIN OF EDUCATIONAL PROGRAMS,No,Boulder,CO,80302
66,1313 A SALON ,10/1/2018,'10-7231,BEAUTY SHOPS A,No,Boulder,CO,80302
67,14ER GARDENS,5/1/2014,'14-8105,Rec Marijuana Grow Facilities,No,Boulder,CO,80301
68,14ER GARDENS,4/1/2010,'15-8105,Med Marijuana Grow Facilities,No,Boulder,CO,80301
69,14ER GARDENS,4/1/2010,'14-8101,Rec Marijuana MIP Business,No,BOULDER,CO,80305
70,14ER HOLISTICS,7/1/2014,'14-8109,Rec Marijuana Retail Business,No,BOULDER,CO,80301
71,14ER HOLISTICS,1/7/2010,'15-8109,Med Marijuana Retail Business,No,BOULDER,CO,80301
72,"14ER POSTERS, ROCKY MOUNTAIN POSTERS, COLORADO POSTERS ",1/1/2018,'05-5900,MISC RETAIL,No,Littleton,CO,80128
73,15TH ST STUDIO INC,7/1/1989,'04-5719,MISC HOME FURN STORES,No,BOULDER,CO,80302
74,17 WALNUT ,4/18/2017,'10-6513,APARTMENT BUILDING OPERATORS,No,Boulder,CO,80302
75,1800HANSONS ,3/9/2019,'10-7299,MISC PERSONAL SERVICES,No,Troy,MI,48083
76,1876 APPAREL ,5/24/2019,'03-5600,APPAREL & ACCESSORY STORES,No,Littleton,CO,80123
77,1908 BRANDS INC,3/2/2010,'10-5199,NONDURABLE GOODS ALL OTHER-WHLSL B,No,BOULDER,CO,80301
78,1911 11TH STREET LLC,6/1/2018,'02-5813,DRINKING PLACES,No,Boulder,CO,80302
79,1940'S BALL NFP,1/12/2011,'10-8699,MISC MEMBERSHIP ORGS,Yes,Boulder,CO,80304
80,1955,5/9/2017,'10-7021,ROOMING & BOARDING PLACES,No,Boulder,CO,80304
81,1973,6/1/2019,'10-7299,MISC PERSONAL SERVICES,No,Lafayette,CO,80026
82,1973,12/1/2018,'05-5900,MISC RETAIL,No,Highlands Ranch,CO,80126
83,1987,10/5/2019,'05-5900,MISC RETAIL,No,Denver,CO,80220
84,20/20 COMMUNICATIONS SIGNS INC,4/1/1993,'09-1521,SINGLE FAMILY HOUSING CONSTRUCTION,No,BOULDER,CO,80302
85,ADVANCED POST-TENSION LLC,9/26/2018,'10-3999,MANUFACTURING ALL OTHER,No,Superior,CO,80027
86,2002 BURTON FAMILY TRUST,12/21/2016,'10-7021,ROOMING & BOARDING PLACES,No,Boulder,CO,80302
87,"2017, LLC",5/17/2010,'10-6531,REAL ESTATE AGENTS,No,BOULDER,CO,80302
88,24 HOUR FITNESS CLUB #668,12/21/2007,'10-7991,PHYSICAL FITNESS FACILITIES,No,BOULDER,CO,80301
89,24-7 RESTORATION ,8/28/2018,'10-8900,MISC SERVICES A,No,Longmont,CO,80501
90,26 Square Studio,7/6/2015,'10-7333,COMMERCIAL PHOTO & ART,No,Boulder,CO,80302
91,"27 VIRTUES, LLC",4/29/2008,'10-7389,BUSINESS SERVICES ALL OTHER,No,Boulder,CO,80302
92,280BLUE INC ,6/4/2019,'10-7311,ADVERTISING AGENCIES,No,Boulder,CO,80302
93,28th STREET MASSAGE,8/1/2013,'10-7299,MISC PERSONAL SERVICES,No,BOULDER,CO,80304
94,29TH NAIL SPA,4/1/2014,'10-7231,BEAUTY SHOPS A,No,Boulder,CO,80301
95,29th Street Energy Cafe,12/29/2009,'02-5812,EATING PLACES,No,BOULDER,CO,80302
96,2B TECHNOLOGIES ,10/1/2018,'10-3999,MANUFACTURING ALL OTHER,No,Boulder,CO,80301
97,2M COMPANY INC,1/1/2006,'10-5084,INDUSTRIAL EQPMT-WHLSL,No,BILLINGS,MT,59101
98,2fours llc,8/1/2013,'12-7371,COMPUTER PROGRAMMING,No,Boulder,CO,80301
99,3 DAY BLINDS LLC,5/1/2013,'04-5714,DRAPERY & UPHOLSTERY STORES,No,Irvine,CA,92618
100,3 MARGARITAS XXX,6/1/2011,'02-5812,EATING PLACES,No,BOULDER,CO,80301
101,"303 ARCHITECTURE, INC",6/14/2006,'10-16205,ARCHITECTS/ENGINEERS,No,BOULDER,CO,80302
102,ACCESS ONE,7/1/2002,'06-4813,TELEPHONE NOT RADIOTELEPHONE,No,CHICAGO,IL,60607
103,ACCESS OPPORTUNITY ,11/8/2019,'10-9411,ADMIN OF EDUCATIONAL PROGRAMS,Yes,Boulder,CO,80302
104,ADVANCED PROBING SYSTEMS INC,1/1/1994,'10-7399,MISC BUSINESS SVCS,No,Boulder,CO,80301
105,ACCESS PRODUCTS INC,7/1/2018,'10-3950,OFFICE SUPPLIES,No,Colorado Springs,CO,80916
106,ADVANCED SHOOTING ANALYTICS ,5/1/2019,'12-7373,SYSTEMS DESIGN,No,Boulder,CO,80301
107,ACCESS TO ACHIEVE LLC,8/1/2010,'10-8299,MISC SCHOOLS,No,BOULDER,CO,80304
108,ADVANCED SHOTCRETE INC,10/15/2013,'09-1799,SPECIAL TRADE CONTRACTORS B,No,Watkins,CO,80137
109,ACCESSA ,1/1/2019,'10-2850,PAINTS & ALLIED PRODS A,No,Englewood,CO,80110
110,"ADVANCED SYSTEMS GROUP, INC",3/31/1981,'05-5999,MISC RETAIL STORES,No,THORNTON,CO,80241
111,ACCESSLINE COMMUNICATIONS CORP,5/1/2001,'06-4811,TELEPHONE COMMUNICATION D,No,BELLEVUE,WA,98004
112,ADVANCED THIN FILMS INC,10/15/2000,'10-3229,GLASSWARE MFG,No,Boulder,CO,80301
113,ACCO BRANDS USA LLC,4/1/2013,'05-5943,STATIONERY STORES,No,Lake Zurich,IL,60047-8897
114,ADVANCEDMD INC,9/1/2015,'12-7372,COMPUTER SOFTWARE,No,SOUTH Jordan,UT,84095
115,ACCOUNTEMPS INC,11/1/1993,'10-7363,TEMPORARY HELP AGENCIES,No,BOULDER,CO,80302
116,ADVANT SOLUTIONS INC,7/1/2016,'10-7382,SECURITY SERVICES,No,Houston,TX,77066
117,ACCOUNTINGTOOLS ,9/1/2019,'10-2730,BOOKS,No,Centennial,CO,80112
118,ADVANTAGE BUSINESS ENTERPRISE,1/31/2007,'10-7299,MISC PERSONAL SERVICES,No,BOULDER,CO,80303
119,ACCU-TECH CORPORATION,5/1/2012,'10-5039,CONSTRUCION MATERIALS ALL OTHER-WHLSL,No,Alpharetta,GA,30009
120,ADVANTAGE ELECTROLYSIS ,5/15/2018,'10-7299,MISC PERSONAL SERVICES,No,Boulder,CO,80303
121,ACCUCODE INC,7/1/2013,'05-5900,MISC RETAIL,No,Centennial,CO,80112
122,ADVANTAGE MACHINE SERVICES LLC,1/1/2013,'10-7699,MISC REPAIR SHOPS,No,Johnstown,CO,80534
123,ACCURATE COLORADO LLC ,7/30/2019,'10-3531,MACHINERY & EQUIPMENT,No,Tempe,AZ,85282
124,ADVANTAGE MOBILE UPHOLESTRY LLC,10/3/2014,'04-5714,DRAPERY & UPHOLSTERY STORES,No,Westminster,CO,80031
125,ACCURATE WINDOW & DOOR CENTER INC ,7/30/2019,'10-3999,MANUFACTURING ALL OTHER,No,Englewood,CO,80110
126,"ADVANTAGE PERFORMANCE GROUP, INC",10/1/2006,'05-5999,MISC RETAIL STORES,No,LARKSPUR,CA,94939
127,ACCURAY INCORPORATED,10/1/2002,'10-3841,SURGICAL MEDICAL DENTAL INSTRUMENTS-MFG,No,SUNNYVALE,CA,94089
128,ACE HARDWARE CORPORATION ,10/1/2018,'10-5000,WHOLESALE TRADE - DURABLE GOOD,No,Oak Brook,IL,60523
129,ACE INDUSTRIES INC ,6/20/2019,'10-3531,MACHINERY & EQUIPMENT,No,Denver,CO,80216
130,ACE PIPE CLEANING INC,2/19/2014,'10-7389,BUSINESS SERVICES ALL OTHER,No,Kansas City,MO,64127
131,ACE-KAUFFMAN STAMP & SEAL CO,4/1/1995,'05-5999,MISC RETAIL STORES,No,DENVER,CO,80205
132,"ACE: ARTS, CULTURE AND EDUCATION AT THE BOULDER JCC",12/23/1999,'10-8661,RELIGIOUS ORGANIZATIONS,Yes,Boulder,CO,80303
133,ACI WORLDWIDE CORP,3/1/1999,'12-7372,COMPUTER SOFTWARE,No,ELKHORN,NE,68022-6482
134,"ACIERNO BOYER & CO., LLC",10/1/2004,'04-5713,FLOOR COVERING STORES,No,DENVER,CO,80203
135,ACLU OF COLORADO ,9/9/2018,'10-8900,MISC SERVICES A,Yes,Denver,CO,80129
136,ACM LLP,1/1/2012,'10-8931,ACCOUNTING/AUDITING/BKKP,No,Boulder,CO,80301
137,ACME BRICK COMPANY,10/1/2002,'10-5032,BRICK STONE-WHLSL,No,FT WORTH,TX,76101
138,"ACN COMMUNICATION SERVICES, INC",7/25/2000,'06-4813,TELEPHONE NOT RADIOTELEPHONE,No,CONCORD,NC,28025
139,ACORN GLASS ,7/30/2019,'10-7536,GLASS REPLACEMENT,No,Wheat Ridge,CO,80033
140,ACORN SCHOOL FOR EARLY CHILDHOOD DEVELOP,1/1/2002,'10-8351,CHILD DAY CARE SERVICES,Yes,Boulder,CO,80301
141,"ACORN STAIRLIFTS, INC.",1/1/2015,'05-5399,MISC GEN MDSE STORES,No,Orlando,FL,32809
142,ACOUSTICAL SERVICES CORP,1/1/2002,'09-1742,PLASTERING,No,DENVER,CO,80207
143,"ACOUSTIFLO, LLC",5/1/1996,'10-7389,BUSINESS SERVICES ALL OTHER,No,BOULDER,CO,80301
144,ACP ,8/7/2019,'05-5900,MISC RETAIL,No,Neenah,WI,54956
145,ACPI WOOD PRODUCTS LLC ,9/26/2019,'10-2434,WOOD KITCHEN CABINETS,No,Waconia,MN,55387
146,ACRONAME INC,4/3/2000,'11-5734,COMPUTER AND SOFTWARE STORES,No,Boulder,CO,80304
147,ACS DATALINE LP,7/1/1991,'05-5999,MISC RETAIL STORES,No,AUSTIN,TX,78758
148,ACT TELECONFERENCING SERVICES INC ,1/1/2019,'06-4890,COMMUNICATION SVCS,No,Alpharetta,GA,30009
149,ACTION APPLIANCE INC,9/1/2004,'10-7629,ELECTRICAL REPAIR SHOPS,No,AURORA,CO,80011
150,ACTION BEVERAGE,1/1/2013,'10-7389,BUSINESS SERVICES ALL OTHER,No,Golden,CO,80401
151,ACTION COMMITTEE FOR ELDORADO,5/18/1995,'09-1799,SPECIAL TRADE CONTRACTORS B,Yes,BOULDER,CO,80301
152,"ACTION ECONOMICS, LLC",1/1/2004,'10-7389,BUSINESS SERVICES ALL OTHER,No,BOULDER,CO,80303
153,ACTION GYPSUM SUPPLY LP,6/1/2019,'08-5211,LUMBER & OTHER BLDG MATS,No,Denver,CO,80239
154,ACTION HOUSECALL PRACTICE,7/1/2003,'10-742,VETERINARY SERVICES,No,LYONS,CO,80540
155,ACTION MARKETING GROUP,11/19/2002,'10-7389,BUSINESS SERVICES ALL OTHER,No,BOULDER,CO,80301
156,ACTION PRINTING INC,1/1/2011,'10-2759,COMMERICAL PRINTING,No,NORTHGLENN,CO,80233
157,"ACTION, INC",7/1/2001,'10-7629,ELECTRICAL REPAIR SHOPS,No,BENNETT,CO,80102
158,ACTIONET INC,12/10/2012,'10-3570,OFFICE & COMPUTING MACHINES,No,Vienna,VA,22180
159,ACTIVE EYES PC ,6/5/2019,'05-5995,OPTICAL GOODS,No,Boulder,CO,80302
160,ACTIVE IMPRINTS,5/30/1988,'05-5999,MISC RETAIL STORES,No,Boulder,CO,80302
161,"ACTIVE INTEREST MEDIA, INC",5/15/2007,'10-2721,PERIODICALS PUBLISHING,No,Boulder,CO,80301
162,ACTIVE SOLUTIONS PHYSICAL THERAPY,5/1/1999,'10-8049,"OFFICES OF HEALTH PRACT, NEC",No,Boulder,CO,80305
163,ACTIVE WOODS,3/22/2018,'05-5900,MISC RETAIL,No,Aurora,CO,80013
164,303 SIGN COMPANY,9/1/2017,'10-3999,MANUFACTURING ALL OTHER,No,Longmont,CO,80501
165,ADVANTAGE SECURITY INC,12/1/2018,'10-6289,SECURITIES ALL OTHER,No,Aurora,CO,80014
166,ADVANTAGE STONE FABRICATION,###############################################################################################################################################################################################################################################################,'10-8999,MISC SERVICES B,No,Longmont,CO,80504
167,ADVENT SOFTWARE INC,3/1/2013,'12-7371,COMPUTER PROGRAMMING,No,San Francisco,CA,94103
168,ADVENTURE FIT INC,1/1/2018,'10-8900,MISC SERVICES A,No,Boulder,CO,80304
169,ADVENTURE RABBI: SYNAGOGUE WITHOUT WALLS,7/19/2004,'10-8661,RELIGIOUS ORGANIZATIONS,Yes,BOULDER,CO,80305
170,"ADVOCARE INTERNATIONAL, LP",6/15/2004,'05-5963,HOME BASED & DIRECT SALES,No,PLANO,TX,75074
171,AE DIRECT CO LLC,2/1/2002,'03-5699,MISC APPAREL,No,WARRENDALE,PA,15086
172,AECO SRL ,5/25/2018,'02-5812,EATING PLACES,No,Maricopa,AZ,85139
173,AED EVERYWHERE,1/3/2017,'10-7352,MEDICAL EQUIPMENT,No,Centennial,CO,80016
174,"AEG LIVE-ROCKY MOUNTAINS, LLC",5/5/2007,'10-7970,ADMISSIONS,No,DENVER,CO,80204
175,AEGIS THERAPIES INC,3/1/2010,'10-7299,MISC PERSONAL SERVICES,No,FORT SMITH,AR,72919
176,AERO SPECTRA CORPORATION,1/1/1983,'05-5963,HOME BASED & DIRECT SALES,No,BOULDER,CO,80303
177,AEROAMP LLC,10/16/2018,'10-7391,RESEARCH & DEV LABS,No,Boulder,CO,80302
178,AEROGROW,7/1/2003,'10-7399,MISC BUSINESS SVCS,No,BOULDER,CO,80301-3203
179,"AEROSCOPE LABS, LLC",3/1/2016,'10-3999,MANUFACTURING ALL OTHER,No,Boulder,CO,80301
180,AEROSPACE TECHNOLOGIES INTL,11/29/1993,'10-5088,TRANSPORTATION EQPMT-WHLSL,No,Boulder,CO,80301
181,AESTHETIC FLOORING,4/25/2014,'09-1700,SPECIAL TRADE CONTRACTORS A,No,Longmont,CO,80504
182,AETHER ARTS PERFUME ,5/16/2009,'05-5999,MISC RETAIL STORES,No,BOULDER,CO,80304
183,AFFIGENT LLC,8/20/2014,'10-7389,BUSINESS SERVICES ALL OTHER,No,Herndon,VA,20171
184,"AFFORDABLE FLOORING & REMODELING, INC",4/1/2011,'04-5713,FLOOR COVERING STORES,No,Aurora,CO,80014
185,AFFORDABLE HOUSING ALLIANCE,10/3/1998,'10-6531,REAL ESTATE AGENTS,Yes,Boulder,CO,80302
186,AFRIKA MIKONO ,6/14/2019,'05-5900,MISC RETAIL,No,Golden,CO,80403
187,AFS TECHNOLOGIES INC,11/1/2018,'11-5734,COMPUTER AND SOFTWARE STORES,No,Phoenix,AZ,85016
188,AG BOULDER LLC,1/1/2015,'10-2790,PRINTING TRADE SVCS,No,Boulder,CO,80301
189,AGENT LEGEND INC ,4/1/2019,'12-7372,COMPUTER SOFTWARE,No,Mt Julien,TN,37122
190,AGENTSHEETS INC,1/1/1998,'12-7372,COMPUTER SOFTWARE,No,BOULDER,CO,80301
191,"AGGREGATE INDUSTRIES - WCR, INC",1/1/2013,'10-3531,MACHINERY & EQUIPMENT,No,Bedford,MA,1730
192,AGGREKO LLC,7/1/1992,'10-7999,AMUSEMENT & RECREATION,No,NEW IBERIA,LA,70560
193,AGILENT TECHNOLOGIES,11/1/1999,'10-8611,BUSINESS ASSOC,No,Boulder,CO,80301
194,AGILITI HEALTH INC ,10/1/2008,'10-7352,MEDICAL EQUIPMENT,No,Minneapolis,MN,55439
195,AGILITI SURGICAL INC,4/1/2003,'10-7352,MEDICAL EQUIPMENT,No,ENGLEWOOD,CO,80110
196,AGILITY COMMUNICATIONS GROUP,1/1/2017,'10-7389,BUSINESS SERVICES ALL OTHER,No,Dallas,TX,75240
197,"AGILYSYS NV, LLC",12/1/2010,'10-3579,OFFICE MACHINES-MFG,No,Alpharetta,GA,30005
198,"AGILYSYS TECHNOLOGY SOLUTIONS GROUP, LLC",1/1/2010,'10-5045,COMPUTERS & PERIPHERALS-WHLSL,No,SOLON,OH,44139
199,AGING SERVICES FOUNDATION/BOULDER COUNTY,2/1/2001,'10-8399,SOCIAL SERVICES/MISC,Yes,BOULDER,CO,80304
200,AGNES KARAS & RAFAL GDOWSKI,5/6/2019,'10-7021,ROOMING & BOARDING PLACES,No,Boulder,CO,80304
201,AGR BUILDING INC ,7/17/2019,'09-1522,GENERAL CONTRACTORS,No,Boulder,CO,80302
202,AGRAVECHOICE.COM,10/5/2019,'05-5900,MISC RETAIL,No,Lakewood,CO,80227
203,303 THE HILL LTD,7/15/2018,'03-5600,APPAREL & ACCESSORY STORES,No,Boulder,CO,80302
204,"AGRIBOTIX, LLC",1/1/2014,'10-100,AGRI PROD-CROPS,No,Boulder,CO,80301
205,303 VODKA,12/1/2008,'10-2099,FOOD PREPARATIONS MFG,No,BOULDER,CO,80301
206,AGUAZUL - BLUEWATER INC,6/1/1995,'10-7289,PERSONAL SERVICE A,No,Boulder,CO,80302
207,3C STORE FIXTURES INC.,11/1/2014,'10-2541,OFFICE & STORE FIXTURES/WOOD,No,Wilson,NC,27893
208,3D PRINTING COLORADO ,6/1/2019,'10-3531,MACHINERY & EQUIPMENT,No,Broomfield,CO,80020
209,"3D SYSTEMS, INC",12/31/1996,'05-5999,MISC RETAIL STORES,No,VALENCIA,CA,91355
210,"3D TREE CARE, LLC",6/15/2005,'10-783,TREE SERVICE,No,Longmont,CO,80503
211,3D-PICTURES,11/4/2017,'05-5900,MISC RETAIL,No,Fort Collins,CO,80525
212,3FORM LLC,1/1/2014,'10-3999,MANUFACTURING ALL OTHER,No,Salt Lake City,UT,84119
213,3GREENDIMENSIONS LLC,6/12/2017,'05-5999,MISC RETAIL STORES,No,Boulder,CO,80302
214,3M COMPANY,6/1/1992,'10-3532,MACHINERY MINING,No,ST PAUL,MN,55144
215,3OH!3 TOURING LLC,6/20/2019,'10-7929,ENTERTAINERS & GROUPS,No,Firestone,CO,80504
216,3R ROOFING LLC,1/1/2011,'09-1761,ROOFING SIDING SHEET METAL,No,Boulder,CO,80308
217,3SI SECURITY SYSTEMS INC,8/1/2002,'10-7382,SECURITY SERVICES,No,Malvern,PA,19355
218,3WIRE LLC,8/1/2018,'10-3531,MACHINERY & EQUIPMENT,No,Addison,IL,60101
219,3ZERO3 DESIGN,2/21/2017,'10-8900,MISC SERVICES A,No,Boulder,CO,80303
220,"4 LIFE RESEARCH USA, LLC",1/1/2009,'05-5963,HOME BASED & DIRECT SALES,No,SANDY,UT,84070
221,4 NOSES BREWING COMPANY ,7/1/2019,'10-2082,MALT BEVERAGES MFG,No,Broomfield,CO,80021
222,451 RESEARCH LLC,6/1/2019,'10-2721,PERIODICALS PUBLISHING,No,New York,NY,10174
223,4FRNT INC ,5/1/2019,'05-5941,SPORTING GOODS & BIKE SHOPS,No,Shelburne,VT,5482
224,4IMPRINT INC ,6/1/2019,'05-5900,MISC RETAIL,No,Oshkosh,WI,54901
225,4SIGHT ENERGY SOLUTIONS,5/1/2013,'10-7389,BUSINESS SERVICES ALL OTHER,No,Boulder,CO,80301
226,50+ LGBTQ INTENTIONAL COMMUNITY,8/31/2018,'10-8900,MISC SERVICES A,No,Louisville,CO,80027
227,5028 LLC,5/25/2018,'03-5661,SHOE STORES,No,Carbondale,CO,81623
228,507 INTERNACIONAL ,6/24/2018,'05-5900,MISC RETAIL,No,Colorado Springs,CO,80916
229,51 SECTOR ,2/28/2019,'10-3751,"MOTORCYCLES,BICYCLES & PARTS-MFG",No,Longmont,CO,80503
230,5280 CONTRACT FLOORING ,8/15/2019,'09-1752,FLOOR LAYING,No,Denver,CO,80223
231,5280 HEATING COOLING & REFRIGERATION ,9/1/2018,'10-5075,HEATING & A/C-WHLSL,No,Westminster,CO,80030
232,5280 SIGNPROS SALES & MARKETING ,1/1/2016,'05-5900,MISC RETAIL,No,Englewood,CO,80110
233,5280 STONE COMPANY LLC,4/1/2019,'10-2399,FABRICATED TEXTILE MFG,No,Frederick,CO,80504
234,"5280 TELECOM, LLC",8/1/2009,'09-1731,ELECTRICAL WORK,No,MORRISON,CO,80465
235,5280 WASTE SOLUTIONS,2/1/2012,'06-4953,REFUSE SYSTEMS,No,Denver,CO,80221
236,5335 Sterling LLC,12/1/2014,'10-6519,LESSORS REAL PROPERTY,No,Boulder,CO,80301
